hospital_name,last_updated_on,hospital_address,description,payer_name,plan_name,estimated_amount,standard_charge|min,standard_charge|max
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Kidney And Urinary Tract Diagnoses With Mcc,Aetna,Medicare Advantage,16256.89,2025,16528.15
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Kidney And Urinary Tract Diagnoses With Cc,Wellcare,Medicare Advantage,1575,1575,1575
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Penis Procedures Without Cc/Mcc,Emblem,Medicaid,15543.7,5364.56,32881.29
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Malignancy, Male Reproductive System With Mcc",Fidelis,Medicaid,9130.65,9130.65,9130.65
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Malignancy, Male Reproductive System Without Cc/Mcc",Metroplus,Medicaid,3133.78,3133.78,3133.78
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inflammation Of The Male Reproductive System Without Mcc,Oxford,Commercial,12504,12504,12504
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Female Reproductive System O.R. Procedures Without Cc/Mcc,Beacon,Medicaid,4947.65,4947.65,159136.13
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Malignancy, Female Reproductive System With Mcc",Beacon,Medicaid,7752.3,7120.8,32012.87
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Malignancy, Female Reproductive System With Cc",Beacon,Medicaid,10364.06,10364.06,10364.06
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Abortion With D&C, Aspiration Curettage Or Hysterotomy",Empire Healthplus,Essential Plan 1-2,15794.78,1600,15794.78
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Vaginal Delivery W Complicating Diagnoses,Empire Healthplus,Medicaid,14137.88,14137.88,14137.88
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Vaginal Delivery W/O Complicating Diagnoses,Empire Healthplus,Essential Plan 1-2,7484.76,7484.76,7484.76
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Postpartum And Post Abortion Diagnoses Without O.R. Procedures,Beacon,Medicaid,5783.74,5783.74,20011
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Major Hematological And Immunological Diagnoses Except Sickle Cell Crisis And Coagulation Disorders ,Emblem,Hmo,29307.78,29307.78,29307.78
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Red Blood Cell Disorders With Mcc,Fidelis,Medicare Advantage,13690.27,1575,54340.11
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Red Blood Cell Disorders Without Mcc,Aetna,Commercial,30262.27,1540.7,57140.71
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Reticuloendothelial And Immunity Disorders Without Cc/Mcc,Emblem,Medicaid,11409.8,11409.8,14730.66
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Acute Leukemia With Mcc,Empire,Ppo,157030,157030,157030
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Lymphoma And Non-Acute Leukemia With Mcc,Empire,Ppo,87649,87649,87649
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Infectious And Parasitic Diseases With O.R. Procedures With Mcc,Emblem,Hmo,73938.44,34519.04,73938.44
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Infectious And Parasitic Diseases With O.R. Procedures With Cc,1199 Seiu,Commercial,51313.3,7445,51313.3
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Postoperative Or Post-Traumatic Infections With O.R. Procedures With Cc,Emblem,Hmo,33365.55,33365.55,33365.55
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Postoperative And Post-Traumatic Infections With Mcc,Aetna,Commercial,36947.72,3325.14,36947.72
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Viral Illness With Mcc,Elderplan,Medicare Advantage,16098.21,16098.21,16098.21
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Viral Illness Without Mcc,Aetna,Commercial,28070.76,9207.36,28070.76
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Septicemia Or Severe Sepsis With Mv >96 Hours,Humana,Medicare Advantage,68011.4,1760,68011.4
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Septicemia Or Severe Sepsis Without Mv >96 Hours With Mcc,1199 Seiu,Commercial,9078.32,1575,55104
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Septicemia Or Severe Sepsis Without Mv >96 Hours Without Mcc,Aetna,Commercial,11351.09,4294,39821.34
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",O.R. Procedures With Principal Diagnosis Of Mental Illness,United Healthcare,Medicare Advantage,22573.52,22573.52,22573.52
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Acute Adjustment Reaction And Psychosocial Dysfunction,Aetna,Commercial,17917.93,2972.58,26855.17
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Depressive Neuroses,1199 Seiu,Commercial,10095,4382.64,63143.85
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Neuroses Except Depressive,1199 Seiu,Commercial,12114,6760,25405.66
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Disorders Of Personality And Impulse Control,Emblem,Ppo,14608.8,14608.8,14608.8
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Organic Disturbances And Intellectual Disability,Aetna,Commercial,8958.96,1575,26801.73
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Psychoses,1199 Seiu,Commercial,20190,1412.5,80234.35
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Alcohol, Drug Abuse Or Dependence, Left Ama",1199 Seiu,Commercial,4546,1690,26501.78
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Alcohol, Drug Abuse Or Dependence With Rehabilitation Therapy",1199 Seiu,Commercial,12501.5,1275,39685.99
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Alcohol, Drug Abuse Or Dependence Without Rehabilitation Therapy With Mcc",Cigna,Hmo,13041.69,1550,22434.68
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Alcohol, Drug Abuse Or Dependence Without Rehabilitation Therapy Without Mcc",Aetna,Commercial,31469.29,7963,31469.29
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other O.R. Procedures For Injuries Without Cc/Mcc,Empire,Ppo,8665.06,8665.06,8665.06
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Allergic Reactions With Mcc,Cigna,Hmo,36651.31,36651.31,36651.31
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Allergic Reactions Without Mcc,Aetna,Commercial,6897.92,6897.92,18804.36
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Poisoning And Toxic Effects Of Drugs With Mcc,Cigna,Hmo,19006.16,15871.02,27287.47
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Poisoning And Toxic Effects Of Drugs Without Mcc,Aetna,Commercial,11945.28,8672.75,33924.41
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Complications Of Treatment With Cc,Oxford,Commercial,25829.6,25829.6,25829.6
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Signs And Symptoms With Mcc,Fidelis,Medicare Advantage,10121.26,10121.26,10121.26
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Signs And Symptoms Without Mcc,Wellcare,Medicare Advantage,1086,1086,1086
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Factors Influencing Health Status,Healthfirst,Medicaid,827616.28,827616.28,827616.28
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Multiple Significant Trauma Without Cc/Mcc,Empire,Blue Access,23036,23036,23036
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Hiv With Major Related Condition With Mcc,United Healthcare,Medicare Advantage,28604.66,28604.66,28604.66
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Hiv With Major Related Condition With Cc,Wellcare,Medicare Advantage,1575,1575,1575
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Hiv With Or Without Other Related Condition,Wellcare,Medicare Advantage,1810,1810,1810
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Extensive O.R. Procedures Unrelated To Principal Diagnosis With Mcc,Healthfirst,Medicare Advantage,6111.52,6111.52,6111.52
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Non-Extensive O.R. Procedures Unrelated To Principal Diagnosis With Cc,Wellcare,Medicare Advantage,1575,1575,1575
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inj daxibotulinumtoxina-lanm,Aetna,Medicare Advantage,1132.56,1132.56,1132.56
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inj talquetamab-tgvs 0.25 mg,Empire,Medicare Advantage,16867.06,16867.06,22085.53
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inj secukinumab intrav 1mg,1199 Seiu,Commercial,4542.5,4542.5,4542.5
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Dexrazoxane HCl injection,Metroplus,Essential Plan 1-2,4054.69,4054.69,4054.69
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Inj, mirikizumab-mrkz, 1 mg",1199 Seiu,Commercial,23578.98,11936.68,23578.98
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Rasburicase,Aetna,Medicare Advantage,2935.8,2935.8,2935.8
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Inj, cyclophosphamide, nos",Empire,Blue Access,2018.16,497.95,2018.16
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Inj, toripalimab-tpzi, 1 mg",Aetna,Medicare Advantage,9873.48,8822.18,9873.48
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Naltrexone, depot form",1199 Seiu,Commercial,1826.54,1676.3,3570.03
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Ketorolac tromethamine inj,Cigna,Hmo,6858.15,89.42,6858.15
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Leuprolide acetate,1199 Seiu,Commercial,2187.45,133.66,8420.94
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Hiv prep, inj, cabotegravir",United Healthcare,Commercial,9517.68,9517.68,9517.68
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Goserelin acetate implant,1199 Seiu,Commercial,745.14,199.97,3887.65
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Inj, romiplostim 1 microgram",Healthfirst,Essential Plan 1-2,2292.1,2292.1,2292.1
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Synvisc or synvisc-one,United Healthcare,Medicare Advantage,569.09,569.09,569.09
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Euflexxa inj per dose,Aetna,Medicare Advantage,535.46,535.46,535.46
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Orthovisc inj per dose,Healthfirst,Medicare Advantage,177.33,177.33,177.33
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Injection,onabotulinumtoxinA",1199 Seiu,Commercial,2133.66,61,9460.32
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Gammagard liquid injection,Aetna,Commercial,9731.89,2353.47,9731.89
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Gamunex-C/Gammaked,Aetna,Commercial,9394.96,2253.49,10496.88
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Inj, temsirolimus",Aetna,Medicare Advantage,1279.43,1279.43,1279.43
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Octreotide injection, depot",Fidelis,Essential Plan 1-2,3305.34,3305.34,3305.34
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Mitomycin injection,Amida Care,Medicaid,1796.12,548.69,1796.12
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inj iron dextran,1199 Seiu,Commercial,491.79,397.39,3818.5
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Triamcinolone a inj prs-free,Aetna,Medicare Advantage,1380.46,221.57,1585.62
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",AbobotulinumtoxinA,Aetna,Medicare Advantage,1035.07,339.04,5100
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Degarelix injection,Aetna,Medicare Advantage,403.48,403.48,3147.96
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Collagenase, clost hist inj",Fidelis,Essential Plan 1-2,6157.94,2150.65,6157.94
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Belimumab injection,Aetna,Commercial,4988.73,3561.94,7468.58
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Eribulin mesylate injection,Emblem,Hmo,9140.32,9140.32,9140.32
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Visualization adjunct,Empire,Hmo,1525.61,1525.61,2077
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inj filgrastim excl biosimil,Emblem,Hmo,1740.57,1660.26,1740.57
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Injection, Pertuzumab, 1 mg",1199 Seiu,Commercial,9183.13,4646.47,19484.06
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Golimumab for iv use 1mg,Aetna,Medicare Advantage,1890.28,1485.23,11276.92
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Obinutuzumab inj,Wellcare,Medicare Advantage,8214.77,8214.77,8214.77
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inj vedolizumab iv 1 mg,1199 Seiu,Commercial,6702.5,4235.55,12474.58
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Inj pembrolizumab,1199 Seiu,Commercial,23415,1226.13,32352.57
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",New Technology - Level 14 ($1201- $1300),1199 Seiu,Commercial,1534.34,1534.34,2537.48
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",New Technology - Level 19 ($1701-$1800),Empire,Connection,1239.31,1239.31,12219.31
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Trastuzumab injection,Fidelis,Medicaid,8580.7,8580.7,8580.7
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Hep b ig, im",Oxford,Commercial,3673.23,3673.23,3673.23
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Darbepoetin alfa, non-esrd",Aetna,Medicare Advantage,158.52,158.52,158.52
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Paclitaxel protein bound,Aetna,Commercial,15805.3,3239.33,15805.3
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Radium ra223 dichloride ther,Empire,Medicare Advantage,15780.57,15780.57,15780.57
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Injection, zarxio",Aetna,Commercial,1449.79,120.76,1547.14
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Penicillin g benzathine inj,1199 Seiu,Commercial,701.65,128.62,2530.87
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Injection, inflectra",Aetna,Commercial,2209.34,1224.33,3679.92
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Inj., bendeka 1 mg",United Healthcare,Medicare Advantage,1982.44,1982.44,1982.44
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Clinic Visits and Related Services,1199 Seiu,Commercial,69,41.86,617.94
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Level 1 Type A ED Visits,1199 Seiu,Commercial,876,101.63,2077
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Level 2 Type A ED Visits,1199 Seiu,Commercial,926,187.22,2077
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Level 3 Type A ED Visits,1199 Seiu,Commercial,926,203.38,2229
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Level 4 Type A ED Visits,1199 Seiu,Commercial,926,220.5,3825
